TF,Targets
ATF1,SLC30A4
ATF1,TMED8
ATF1,PDLIM1
ATF1,ZNF677
ATF1,LINC00526
ATF1,TXN
ATF1,IQCE
ATF1,CARMIL2
ATF1,ACVR2A
ATF1,HIST1H3B
ATF1,RBAK-RBAKDN
ATF1,PRKAR1B
ATF1,TDRKH
ATF1,SP1
ATF1,POLR3B
ATF1,C2orf42
ATF1,FBXW4
ATF1,MTOR
ATF1,ITPR3
ATF2,C14orf28
ATF2,PFN2
ATF2,CHKB
ATF2,SLC46A3
ATF2,PAN2
ATF2,ATF2
ATF2,C3orf67
ATF2,FOXN2
ATF3,ATXN3
ATF3,BBC3
ATF3,ATF3
ATF3,PHLPP1
ATF3,HDAC9
ATF3,RARA
ATF3,KCNG1
ATF3,SLC20A1
ATF3,CDIP1
ATF3,ODC1
ATF3,TRIP6
ATF3,EIF1B
ATF3,PMAIP1
ATF3,RIN3
ATF3,KRAS
ATF3,NUDT9
ATF3,SLC4A7
ATF3,ZC3H12D
ATF3,ADGRE5
